Year,Time series,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Employees,Air passenger transport,.,,,
2014,Employees,Air passenger transport,.,,,
2015,Employees,Air passenger transport,.,,,
2016,Employees,Air passenger transport,.,,,
2017,Employees,Air passenger transport,.,,,
2018,Employees,Air passenger transport,.,,,
2019,Employees,Air passenger transport,.,,,
2020,Employees,Air passenger transport,,,,57763.0
2021,Employees,Air passenger transport,,,,53976.0
2022,Employees,Air passenger transport,,,,52214.0
2023,Employees,Air passenger transport,,,,56268.0
2010,Employees,Transport equipment rental,.,,,
2011,Employees,Transport equipment rental,.,,,
2012,Employees,Transport equipment rental,.,,,
2013,Employees,Transport equipment rental,.,,,
2014,Employees,Transport equipment rental,.,,,
2015,Employees,Transport equipment rental,.,,,
2016,Employees,Transport equipment rental,.,,,
2017,Employees,Transport equipment rental,.,,,
2018,Employees,Transport equipment rental,.,,,
2019,Employees,Transport equipment rental,.,,,
2020,Employees,Transport equipment rental,,,,30207.0
2021,Employees,Transport equipment rental,,,,35394.0
2022,Employees,Transport equipment rental,,,,40890.0
2023,Employees,Transport equipment rental,,,,38225.0
2010,Employees,Travel agencies and other reservation service activities,.,,,
2011,Employees,Travel agencies and other reservation service activities,.,,,
2012,Employees,Travel agencies and other reservation service activities,.,,,
2013,Employees,Travel agencies and other reservation service activities,.,,,
2014,Employees,Travel agencies and other reservation service activities,.,,,
2015,Employees,Travel agencies and other reservation service activities,.,,,
2016,Employees,Travel agencies and other reservation service activities,.,,,
2017,Employees,Travel agencies and other reservation service activities,.,,,
2018,Employees,Travel agencies and other reservation service activities,.,,,
2019,Employees,Travel agencies and other reservation service activities,.,,,
2020,Employees,Travel agencies and other reservation service activities,,,,71757.0
2021,Employees,Travel agencies and other reservation service activities,,,,69620.0
2022,Employees,Travel agencies and other reservation service activities,,,,78682.0
2023,Employees,Travel agencies and other reservation service activities,,,,74969.0
2010,Employees,Cultural activities,.,,,
2011,Employees,Cultural activities,.,,,
2012,Employees,Cultural activities,.,,,
2013,Employees,Cultural activities,.,,,
2014,Employees,Cultural activities,.,,,
2015,Employees,Cultural activities,.,,,
2016,Employees,Cultural activities,.,,,
2017,Employees,Cultural activities,.,,,
2018,Employees,Cultural activities,.,,,
2019,Employees,Cultural activities,.,,,
2020,Employees,Cultural activities,.,,,
2021,Employees,Cultural activities,,,,48031.0
2022,Employees,Cultural activities,,,,53906.0
2023,Employees,Cultural activities,,,,56266.0
2010,Employees,Sports and Recreational activities,.,,,
2011,Employees,Sports and Recreational activities,.,,,
2012,Employees,Sports and Recreational activities,.,,,
2013,Employees,Sports and Recreational activities,.,,,
2014,Employees,Sports and Recreational activities,.,,,
2015,Employees,Sports and Recreational activities,.,,,
2016,Employees,Sports and Recreational activities,.,,,
2017,Employees,Sports and Recreational activities,.,,,
2018,Employees,Sports and Recreational activities,.,,,
2019,Employees,Sports and Recreational activities,.,,,
2020,Employees,Sports and Recreational activities,.,,,
2021,Employees,Sports and Recreational activities,,,,275068.0
2022,Employees,Sports and Recreational activities,,,,286360.0
2023,Employees,Sports and Recreational activities,,,,276102.0
2010,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2011,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2012,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2013,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2014,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2015,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2016,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2017,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2018,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2019,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,.,,,
2020,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,,,,289724.0
2021,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,,,,345255.0
2022,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,,,,353567.0
2023,Employees jobs (in full-time equivalent),Accommodation for visitors: hotels and similar establishments,,,,353567.0
2010,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2011,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2012,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2013,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2014,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2015,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2016,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2017,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2018,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2019,Employees jobs (in full-time equivalent),Accommodation for visitors: other,.,,,
2020,Employees jobs (in full-time equivalent),Accommodation for visitors: other,,,,270579.0
2021,Employees jobs (in full-time equivalent),Accommodation for visitors: other,,,,406427.0
2022,Employees jobs (in full-time equivalent),Accommodation for visitors: other,,,,377342.0
2023,Employees jobs (in full-time equivalent),Accommodation for visitors: other,,,,374218.0
2010,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2011,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2012,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2013,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2014,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2015,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2016,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2017,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2018,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2019,Employees jobs (in full-time equivalent),Food and beverage serving activities,.,,,
2020,Employees jobs (in full-time equivalent),Food and beverage serving activities,,,,743998.0
2021,Employees jobs (in full-time equivalent),Food and beverage serving activities,,,,1072961.0
2022,Employees jobs (in full-time equivalent),Food and beverage serving activities,,,,925027.0
2023,Employees jobs (in full-time equivalent),Food and beverage serving activities,,,,932114.0
2010,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2011,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2012,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2013,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2014,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2015,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2016,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2017,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2018,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2019,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2020,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2021,Employees jobs (in full-time equivalent),Railway passenger transport,.,,,
2022,Employees jobs (in full-time equivalent),Railway passenger transport,,,,23151.0
2023,Employees jobs (in full-time equivalent),Railway passenger transport,,,,23326.0
2010,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
2011,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
2012,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
2013,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
2014,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
2015,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
2016,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
2017,Employees jobs (in full-time equivalent),Road passenger transport,.,,,
