Year,Units,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,,,,917.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,592.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,618.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,626.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,668.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,638.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,671.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,702.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,658.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,689.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,662.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,676.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,|,r,,689.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,671.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,r,,,744.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Weiblich,,,,747.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,71.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,95.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,78.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,64.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,78.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,97.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,78.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,92.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,120.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,76.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,121.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,|,r,,101.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,115.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,r,,,165.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,Männlich,,,,170.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,35.3
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,32.9
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,32.2
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,31.7
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,28.9
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,25.9
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,24.3
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,23.9
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,24.5
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,24.3
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,25.2
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,26.6
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,27.7
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,,,,29.8
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,,|,,,32.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,54.9
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,51.4
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,51.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,49.7
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,45.3
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,41.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,38.7
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,38.3
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,39.2
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,39.1
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,40.3
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,42.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,44.2
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,,,,46.9
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Weiblich,|,,,50.6
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,14.9
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,13.6
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,12.8
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,12.9
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,11.7
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,10.4
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,9.5
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,9.2
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,9.4
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,9.2
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,9.8
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,10.7
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,10.8
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,,,,12.1
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,60 Jahre und älter,Männlich,|,,,12.9
