Year,timeseries,tourism industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2021,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2022,employees jobs (in full-time equivalent),railway passenger transport,,,,23151
2023,employees jobs (in full-time equivalent),railway passenger transport,,,,23326
2010,employees jobs (in full-time equivalent),road passenger transport,…,,,
2011,employees jobs (in full-time equivalent),road passenger transport,…,,,
2012,employees jobs (in full-time equivalent),road passenger transport,…,,,
2013,employees jobs (in full-time equivalent),road passenger transport,…,,,
2014,employees jobs (in full-time equivalent),road passenger transport,…,,,
2015,employees jobs (in full-time equivalent),road passenger transport,…,,,
2016,employees jobs (in full-time equivalent),road passenger transport,…,,,
2017,employees jobs (in full-time equivalent),road passenger transport,…,,,
2018,employees jobs (in full-time equivalent),road passenger transport,…,,,
2019,employees jobs (in full-time equivalent),road passenger transport,…,,,
2020,employees jobs (in full-time equivalent),road passenger transport,,,,96528
2021,employees jobs (in full-time equivalent),road passenger transport,,,,129574
2022,employees jobs (in full-time equivalent),road passenger transport,,,,126403
2023,employees jobs (in full-time equivalent),road passenger transport,,,,128524
2010,employees jobs (in full-time equivalent),water passenger transport,…,,,
2011,employees jobs (in full-time equivalent),water passenger transport,…,,,
2012,employees jobs (in full-time equivalent),water passenger transport,…,,,
2013,employees jobs (in full-time equivalent),water passenger transport,…,,,
2014,employees jobs (in full-time equivalent),water passenger transport,…,,,
2015,employees jobs (in full-time equivalent),water passenger transport,…,,,
2016,employees jobs (in full-time equivalent),water passenger transport,…,,,
2017,employees jobs (in full-time equivalent),water passenger transport,…,,,
2018,employees jobs (in full-time equivalent),water passenger transport,…,,,
2019,employees jobs (in full-time equivalent),water passenger transport,…,,,
2020,employees jobs (in full-time equivalent),water passenger transport,,,,6722
2021,employees jobs (in full-time equivalent),water passenger transport,,,,7346
2022,employees jobs (in full-time equivalent),water passenger transport,,,,7746
2023,employees jobs (in full-time equivalent),water passenger transport,,,,7414
2010,employees jobs (in full-time equivalent),air passenger transport,…,,,
2011,employees jobs (in full-time equivalent),air passenger transport,…,,,
2012,employees jobs (in full-time equivalent),air passenger transport,…,,,
2013,employees jobs (in full-time equivalent),air passenger transport,…,,,
2014,employees jobs (in full-time equivalent),air passenger transport,…,,,
2015,employees jobs (in full-time equivalent),air passenger transport,…,,,
2016,employees jobs (in full-time equivalent),air passenger transport,…,,,
2017,employees jobs (in full-time equivalent),air passenger transport,…,,,
2018,employees jobs (in full-time equivalent),air passenger transport,…,,,
2019,employees jobs (in full-time equivalent),air passenger transport,…,,,
2020,employees jobs (in full-time equivalent),air passenger transport,,,,45264
2021,employees jobs (in full-time equivalent),air passenger transport,,,,45513
2022,employees jobs (in full-time equivalent),air passenger transport,,,,44077
2023,employees jobs (in full-time equivalent),air passenger transport,,,,47678
2010,employees jobs (in full-time equivalent),transport equipment rental,…,,,
2011,employees jobs (in full-time equivalent),transport equipment rental,…,,,
2012,employees jobs (in full-time equivalent),transport equipment rental,…,,,
2013,employees jobs (in full-time equivalent),transport equipment rental,…,,,
2014,employees jobs (in full-time equivalent),transport equipment rental,…,,,
2015,employees jobs (in full-time equivalent),transport equipment rental,…,,,
2016,employees jobs (in full-time equivalent),transport equipment rental,…,,,
2017,employees jobs (in full-time equivalent),transport equipment rental,…,,,
